,PC1,PC2,Westernization
SZAXPI003410-3,12.24504163355708,-2.654259570470157,Occidental
SZAXPI003411-6,-2.835659282346125,9.508620410213846,Occidental
SZAXPI003412-1,8.604492425649887,-6.9486351157334,Occidental
SZAXPI003413-4,-6.4362044397146505,-7.151142277898539,Occidental
SZAXPI003414-3,9.26851245491327,-3.288857229015817,Occidental
SZAXPI003415-12,16.840168886263292,-2.0092290275466835,Occidental
SZAXPI003416-4,27.564650100239273,0.7519527316183412,Occidental
SZAXPI003417-4,7.371978406858808,-3.3021260164714628,Occidental
SZAXPI003419-6,8.62409368181793,2.5239690001691875,Occidental
SZAXPI003421-5,-4.358782183960669,-4.473065247951285,Occidental
SZAXPI003423-8,29.260135104895223,-5.1200269035466635,Occidental
SZAXPI003424-12,20.70285347775472,-5.611014663689562,Occidental
SZAXPI003427-1,14.984287651429625,0.8508775793571823,Occidental
SZAXPI003428-6,19.91499185928917,3.1080494129283838,Occidental
SZAXPI003429-3,8.74489588247517,6.804551908859126,Occidental
SZAXPI003430-5,6.071572714586757,11.161922003403806,Occidental
SZAXPI003432-12,2.9461666461505827,1.0807085328188366,Occidental
SZAXPI003433-7,18.40037897409659,-3.8259266200007547,Occidental
SZAXPI003434-7,30.441948500837523,-12.255607215139715,Occidental
SZAXPI003435-11,0.1614767803009176,-2.850676828042075,Occidental
SZAXPI003436-7,-2.527057184747827,-12.426481244634115,Occidental
SZAXPI003437-3,22.993107920598497,7.056915449526264,Occidental
SZAXPI015210-17,2.180818013287155,11.262909284270123,Occidental
SZAXPI015212-113,10.135459653300243,13.198065611869044,Occidental
SZAXPI015213-15,2.37768743910637,1.2132116077666941,Occidental
SZAXPI015219-129,21.572420029331198,3.576163469342402,Occidental
SZAXPI015221-142,12.05821512336946,0.8462536926279469,Occidental
SZAXPI015222-123,2.866784458625135,-8.472421724428667,Occidental
SZAXPI015224-13,-1.1800977941436024,12.609022080869792,Occidental
SZAXPI015226-14,-0.6544615194677661,1.1489283618391406,Occidental
SZAXPI015227-13,-13.968207977750804,0.7453819011109903,Occidental
SZAXPI015229-15,13.937764292542397,16.95785376947106,Occidental
SZAXPI015230-16,-10.399205110267552,-3.3945963434305293,Occidental
SZAXPI015231-17,-0.7098533234971445,7.150523892806859,Occidental
SZAXPI015232-18,28.303208482950165,10.879808626683108,Occidental
SZAXPI015234-20,-3.3958768472826453,-7.932819059564026,Occidental
SZAXPI015235-21,-6.6663515604525045,8.872394639285105,Occidental
SZAXPI015238-24,-3.6706867794813522,2.9792527845603196,Occidental
SZAXPI015241-27,3.0133265072191078,-4.256073076837542,Occidental
SZAXPI015245-33,-9.701283245227316,10.752662048267688,Occidental
SZAXPI015246-34,16.8001831542271,-0.7466218091973849,Occidental
SZAXPI015247-35,14.386498744903186,5.045166175038323,Occidental
SZAXPI015248-36,-1.4472644502625922,4.258172690630733,Occidental
SZAXPI015250-39,-1.5626824829202697,-3.5211014572465915,Occidental
SZAXPI015251-41,-4.311198252740564,-6.032454232265828,Occidental
SZAXPI015253-44,-1.8081505803976512,-2.962317004221089,Occidental
SZAXPI015254-45,23.6310485677746,-5.8749911750074775,Occidental
SZAXPI015255-46,-9.887799454666197,3.053601434638085,Occidental
SZAXPI015256-47,13.146789902022341,-9.189095269226968,Occidental
SZAXPI015258-57,-1.662365956974977,13.72676075789121,Occidental
SZAXPI015259-62,19.171801839159322,7.848381750824833,Occidental
SZAXPI015261-75,-5.93692079452379,-0.6738113439578761,Occidental
SZAXPI015264-87,-16.782119080241056,-1.5841354287009581,Occidental
SZAXPI015265-88,3.9888962883770613,-6.20333514315232,Occidental
SZAXPI015267-102,2.830509243131166,6.0941806188077745,Occidental
SZAXPI015270-90,-9.840272558961662,-2.7875720858887574,Occidental
SZAXPI015271-93,-4.535479724781812,-1.4332536819661668,Occidental
SZAXPI015272-108,-8.571534982463614,-5.6781781638447475,Occidental
SZAXPI015273-95,6.285983634812866,16.91694110245481,Occidental
SZAXPI015274-111,12.496065103040198,-2.1143352002391476,Occidental
SZAXPI017451-16,24.001355549845158,14.248579433679215,Occidental
SZAXPI017452-17,19.243882461741144,4.304530793799561,Occidental
SZAXPI017454-20,15.042222842874008,3.9981925306564325,Occidental
SZAXPI017456-23,15.36895028167536,3.1867845274065845,Occidental
SZAXPI017457-24,2.704968691540386,-0.9507380078549694,Occidental
SZAXPI017458-25,-0.59712652597727,8.298421196565448,Occidental
SZAXPI017460-27,7.525327157041525,-14.565022587386949,Occidental
SZAXPI017461-32,7.64536689375272,-0.9664731648004068,Occidental
SZAXPI017462-33,-5.544461489142487,-0.7481470775888441,Occidental
SZAXPI017464-37,15.65934323433802,-3.852404067733743,Occidental
SZAXPI017465-43,13.720692009860253,-8.77941190627008,Occidental
SZAXPI017468-88,-16.587569680744668,10.676097139120333,Occidental
SZAXPI017582-94,21.978789052553637,-5.569823844969348,Occidental
SZAXPI017583-102,12.303604653360107,-1.7794162312618935,Occidental
SZAXPI017585-109,20.856575358463935,-4.383107682229931,Occidental
SZAXPI017586-111,4.125600667554215,7.92942936295554,Occidental
SZAXPI017587-113,28.14471996070129,3.4018832107643986,Occidental
SZAXPI017588-123,-2.8563894028269026,4.113786652115087,Occidental
SZAXPI017589-133,7.434581340003559,1.6932472110670806,Occidental
SZAXPI017590-136,-0.7757360221248426,11.065654452401935,Occidental
SZAXPI017591-140,-14.934173292273314,3.6557784516939598,Occidental
SZAXPI017592-142,3.113898276933363,0.5532008896016771,Occidental
SZAXPI017593-158,-4.342483192381742,3.5763121489352523,Occidental
nHF511704,9.762430962742371,-9.795053498429798,Occidental
nHM512705,-4.092813104009874,3.2624598885990572,Occidental
nHM611708,-10.27322093175837,2.497015670540935,Occidental
nHF611710,-12.075065396619035,2.1026829221637913,Occidental
nHM511712,7.620113291260454,-6.785186819708362,Occidental
nHM410714,-6.676267321042236,2.8952939228680634,Occidental
nHM511615,4.8155286883072055,6.868828565895929,Occidental
nHM412716,-10.116911510635294,-1.48055642295527,Occidental
nHM511717,-7.103824247124894,12.162519505883786,Occidental
nHF411719,1.6370098889376994,-2.4090003774221964,Occidental
nHM511720,7.283481773280489,1.5369959847393977,Occidental
nHF612722,5.992096459333042,-8.6346511794145,Occidental
nHF611623,-3.001756027896345,1.5574032379738485,Occidental
nHMX11726,-9.647677135550527,0.812949910559233,Occidental
nHM410727,-10.156145724569253,3.3827216344803803,Occidental
nHM511730,-10.948394580664356,-3.238384422221171,Occidental
nHM510831,12.582222702807343,1.9328048405485365,Occidental
nHM510732,-5.359094736920282,12.043460272992604,Occidental
nHM511735,-0.630036219807522,13.840582904904522,Occidental
nHM510737,-3.679738411673661,8.585999412859973,Occidental
nHM511738,-0.8886650483054019,1.5841146547098628,Occidental
nHF411741,3.8802828415249886,10.528864504639952,Occidental
nHF409542,7.059244990234626,-9.789994725126824,Occidental
nHM612743,1.9259511439640242,-2.6563282699758153,Occidental
nHM411801,9.30345324332807,10.998340925429641,Occidental
nHM512802,-3.7454364640598605,9.551584559660055,Occidental
nHM412703,-10.587868765808402,-7.448605355606371,Occidental
nHM512806,15.021350833297285,1.707068925095414,Occidental
nHM612607,-2.88906643614604,-5.805882121401832,Occidental
nHM612709,17.114673999656553,7.604892881812041,Occidental
nHM512811,-5.903834336525552,-4.07043937976811,Occidental
nHM511813,-10.380559791804512,2.1840833628764527,Occidental
nHF512818,11.28622672681654,-11.209434724287451,Occidental
nHM511821,11.034405920500756,-6.511518989985595,Occidental
nHM612724,-6.5237135139650775,-8.775227413503764,Occidental
nHM512828,0.05207447265878429,15.987001788777516,Occidental
nHF512829,15.656838862455078,0.8800418388092917,Occidental
nHM410833,7.848202436496299,0.736414714600631,Occidental
nHM512834,-2.388264018790329,0.486006778031415,Occidental
nHM412839,-7.603403979941103,6.796870787065188,Occidental
nHM412844,-1.007744295331623,-9.985628394649066,Occidental
H2M514901,-2.379439330908033,-4.256571905758045,Occidental
H2M414102,9.713869458150821,4.758550368442267,Occidental
H2M514903,-12.093509680885486,-7.93788727923262,Occidental
H2M614904,-14.656226163091368,9.876222509119069,Occidental
H2M514905,20.083275092312572,1.8737935466585807,Occidental
H2M514906,15.888128397735354,-3.6475165876089806,Occidental
H2M514108,-1.6548130410265003,13.183822414610052,Occidental
H2M514909,-8.450992234402271,-0.5966445858873355,Occidental
H2F514910,-11.339921770583004,10.826258261792864,Occidental
H2M514911,-0.11461838822932258,3.954680047314202,Occidental
H2M615912,-6.921532522588002,0.8939058357628547,Occidental
H2M413913,-6.34693554264674,-6.370932047379228,Occidental
H2M415914,-0.8685837104235112,0.904663465177248,Occidental
H2M413915,13.421899095513465,-2.3534661818570344,Occidental
H2MX14816,3.1272763941563895,12.54897546365552,Occidental
H2M514917,0.6281890697173544,-3.564847629415275,Occidental
H2M514818,4.468626873225634,-7.983203465985453,Occidental
H2M511919,8.842578388199028,12.334543129539718,Occidental
H2M411920,4.55289284748391,-2.146251709209211,Occidental
H2M515921,-7.161636191870905,7.4232655607064135,Occidental
H2M515822,8.847950826881378,14.150089384123419,Occidental
