Species,PC1,PC2,contribution
Prevotella_copri,-0.07391192464412301,0.3147213969406294,0.3886333215847524
Alistipes_putredinis,-0.12281243265828101,-0.1555727053215771,0.2783851379798581
Flavonifractor_plautii,0.1519233208728713,-0.11922840973957465,0.27115173061244596
Veillonella_parvula,0.10665729163611554,0.1557660341934057,0.2624233258295212
Ruminococcus_gnavus,0.24034262538475787,-0.02152366204532722,0.2618662874300851
Clostridium_bolteae,0.17319834890983135,-0.08385858912499251,0.2570569380348239
Oscillibacter_sp_57_20,-0.17463599735973714,0.060350814780251054,0.2349868121399882
Barnesiella_intestinihominis,-0.14245797427834472,-0.09208855323501738,0.2345465275133621
Alistipes_finegoldii,-0.07946239777872786,-0.1543067522185348,0.23376914999726267
Eggerthella_lenta,0.1460848768483765,-0.08486476322859762,0.23094964007697413
Odoribacter_splanchnicus,-0.11824747174567132,-0.10687253201575998,0.22512000376143132
Klebsiella_pneumoniae,0.08414324660858127,0.13499290958457486,0.21913615619315613
Haemophilus_parainfluenzae,0.06067420567530411,0.1576705422001522,0.21834474787545632
Veillonella_atypica,0.08228450157949792,0.13404740081666533,0.21633190239616323
Phascolarctobacterium_succinatutens,-0.05312535884805349,0.15926612869513673,0.21239148754319023
Akkermansia_muciniphila,-0.07952931939717266,-0.13055507046025566,0.21008438985742833
Coprococcus_eutactus,-0.11628147517109641,0.08907821124314345,0.20535968641423985
Escherichia_coli,0.09797186626912435,0.10394590699205308,0.20191777326117744
Ruminococcus_torques,-0.117770505915172,0.08369783517202967,0.20146834108720169
Clostridium_symbiosum,0.1365467987679833,-0.06249496396816003,0.19904176273614335
Erysipelatoclostridium_ramosum,0.17823930107700148,-0.015715019924425623,0.1939543210014271
Ruthenibacterium_lactatiformans,0.03229473895949129,-0.16039384172703217,0.19268858068652345
Klebsiella_variicola,0.07010849766334011,0.11595810332933727,0.18606660099267738
Lawsonibacter_asaccharolyticus,-0.038579969876086834,-0.14468586077190043,0.18326583064798727
Eubacterium_eligens,-0.13513522595126076,0.04802774078290681,0.18316296673416757
Firmicutes_bacterium_CAG_110,-0.13579961277642405,0.046598792565472974,0.18239840534189702
Alistipes_shahii,-0.10318913998295409,-0.07814197582199096,0.18133111580494504
Oscillibacter_sp_CAG_241,-0.14929236782336455,0.03194884733641355,0.1812412151597781
Prevotella_stercorea,-0.0035974852518077605,0.176907416415179,0.18050490166698674
Hungatella_hathewayi,0.12818918920997158,-0.05153014910970015,0.17971933831967174
Eubacterium_siraeum,-0.14282217004896414,-0.036412913814849956,0.1792350838638141
Veillonella_dispar,0.06418707845826738,0.11370404772665874,0.1778911261849261
Gordonibacter_pamelaeae,0.07847415484552991,-0.09934712974913877,0.17782128459466867
Blautia_sp_CAG_257,0.1227744375654856,-0.05272488437227307,0.1754993219377587
Prevotella_sp_CAG_279,-0.036601650645384606,0.13873585594103907,0.17533750658642366
Clostridium_citroniae,0.08590123750214347,-0.08371837462074641,0.1696196121228899
Holdemanella_biformis,-0.06471026614184804,0.10427728188165876,0.1689875480235068
Eubacterium_rectale,-0.1164111241544416,0.051814114581072754,0.16822523873551437
Streptococcus_parasanguinis,0.07663232501905955,0.09156155768704373,0.16819388270610328
Gemmiger_formicilis,-0.13156081069004646,0.03595442160632187,0.16751523229636833
Veillonella_infantium,0.06617127474504193,0.10127368524917012,0.16744495999421205
Streptococcus_mitis,0.08098173969312553,0.08070822947146898,0.1616899691645945
Bacteroides_uniformis,-0.009016905957731082,-0.15150809433887333,0.1605250002966044
Coprococcus_catus,-0.12097610549977995,0.03816895477440097,0.15914506027418093
Klebsiella_quasipneumoniae,0.060995377157103785,0.09636579432047024,0.15736117147757403
Clostridium_clostridioforme,0.11294444411421331,-0.04387614039758757,0.15682058451180086
Streptococcus_oralis,0.07084119584455076,0.0844465742219005,0.15528777006645125
Ruminococcus_bicirculans,-0.1005917920690768,-0.054353260133802664,0.15494505220287946
Coprococcus_comes,-0.1401007708615797,0.014068126174624232,0.15416889703620396
Streptococcus_salivarius,0.0668475932675593,0.08520569682829242,0.15205329009585172
Clostridium_innocuum,0.1368606783043087,-0.015006925877951272,0.15186760418225997
Veillonella_sp_T11011_6,0.05923899317474593,0.09208104208684462,0.15132003526159055
Firmicutes_bacterium_CAG_170,-0.06814843198608046,0.08215362020830078,0.15030205219438125
Phascolarctobacterium_faecium,0.06939993784625911,-0.07901041706506658,0.1484103549113257
Collinsella_aerofaciens,-0.08771874906341584,0.057256654977657764,0.14497540404107362
Anaerotruncus_colihominis,0.061287982352224345,-0.08299251139225268,0.14428049374447702
Roseburia_inulinivorans,-0.08041923564517853,0.06350561326110346,0.143924848906282
Asaccharobacter_celatus,-0.03999106062745011,-0.10373874233272493,0.14372980296017504
Bacteroides_dorei,-0.03721453650225467,-0.10499514070210653,0.1422096772043612
Eisenbergiella_massiliensis,0.06732273027469515,-0.07421619902503086,0.141538929299726
Roseburia_faecis,-0.09479408530178139,0.043936142321193666,0.13873022762297504
Firmicutes_bacterium_CAG_95,-0.08623383359525295,0.04995827225066793,0.1361921058459209
Butyrivibrio_crossotus,-0.05607375974291445,0.07919359284876952,0.135267352591684
Fusicatenibacter_saccharivorans,-0.07985721177785622,-0.04982642465662749,0.12968363643448372
Eubacterium_sp_CAG_180,-0.07058983238562946,0.058360088732986586,0.12894992111861606
Tyzzerella_nexilis,0.09688079528515682,0.032001714352173506,0.12888250963733033
Bacteroides_caccae,-0.041049925976915924,-0.08741245628350977,0.1284623822604257
Bacteroides_fragilis,0.0872544210770644,-0.041196158600018934,0.12845057967708334
Roseburia_hominis,-0.11018681520889459,-0.017593905802534632,0.12778072101142923
Bifidobacterium_dentium,0.05903748808144184,0.06719133180348352,0.12622881988492535
Adlercreutzia_equolifaciens,-0.03169940684517669,-0.09447179774608411,0.1261712045912608
Streptococcus_anginosus_group,0.05796850367917131,0.06740957675363424,0.12537808043280554
Butyricimonas_virosa,-0.07384312797896624,-0.05150708005414181,0.12535020803310803
Eubacterium_hallii,-0.08348127097392666,-0.041216847501171015,0.12469811847509768
Dorea_longicatena,-0.10068815745566999,0.023501870106051957,0.12419002756172194
Streptococcus_infantis,0.0591682006167187,0.06448963134505022,0.12365783196176891
Ruminococcus_bromii,-0.08543537174822777,-0.036428731139610135,0.1218641028878379
Firmicutes_bacterium_CAG_83,-0.09341128883025518,-0.027826266315540374,0.12123755514579555
Intestinimonas_butyriciproducens,0.008586707403671722,-0.11154191780104292,0.12012862520471464
Ruminococcus_lactaris,-0.09675305849850616,-0.022882678861391035,0.11963573735989719
Bifidobacterium_adolescentis,-0.09142111751123527,0.02819939078869695,0.11962050829993222
Blautia_obeum,-0.0770525895656004,-0.04225881216242296,0.11931140172802336
Lachnospira_pectinoschiza,-0.06485054813504657,0.0537219567005391,0.11857250483558567
Bacteroides_cellulosilyticus,-0.03506025868587273,-0.08230410490777283,0.11736436359364556
Clostridium_lavalense,0.0626226548861206,-0.05467479787630111,0.1172974527624217
Bacteroides_thetaiotaomicron,0.034068240352379084,-0.0829167295813896,0.11698496993376868
Sellimonas_intestinalis,0.08705081551716941,-0.02992637167500424,0.11697718719217365
Slackia_isoflavoniconvertens,-0.0531262864635536,0.06350644953559048,0.11663273599914409
Rothia_mucilaginosa,0.04638886080657567,0.06919943389128833,0.115588294697864
Clostridium_sp_CAG_58,-0.009143094801284777,-0.10632203462723071,0.11546512942851549
Streptococcus_gordonii,0.052152325686033875,0.06323571813961901,0.11538804382565288
Gemella_sanguinis,0.06087021370276866,0.0542492839765775,0.11511949767934616
Coprobacter_fastidiosus,-0.06032076496177422,-0.05322090631832683,0.11354167128010105
Bacteroides_plebeius,0.013343031930199896,0.10014713163250427,0.11349016356270417
Megamonas_funiformis,0.04916383443279342,0.06392366146729692,0.11308749590009035
Desulfovibrio_piger,-0.0461843479408483,0.06671350274425883,0.11289785068510713
Streptococcus_vestibularis,0.05073892927691451,0.061947896095093206,0.11268682537200772
Alistipes_indistinctus,-0.04696919682472341,-0.06486435675787322,0.11183355358259664
Catenibacterium_mitsuokai,-0.028424259612995512,0.08134141244928926,0.10976567206228477
Fusobacterium_mortiferum,0.07087195607293462,0.03887555272689292,0.10974750879982753
Parasutterella_excrementihominis,-0.02645559460082085,-0.0832736345601557,0.10972922916097655
Bacteroides_ovatus,0.021483416022955528,-0.08669339072818663,0.10817680675114216
Clostridium_asparagiforme,0.05164583453438456,-0.05577297526456538,0.10741880979894994
otros,0.009003994245064663,0.09838493973785059,0.10738893398291526
Anaerotignum_lactatifermentans,0.0697260581725939,-0.037119320111694276,0.10684537828428818
Bilophila_wadsworthia,0.010108936748818416,-0.09252664415764397,0.10263558090646238
Clostridium_aldenense,0.08326803443831539,-0.017843344608593163,0.10111137904690855
Paraprevotella_xylaniphila,-0.06136016333363156,0.03949154234567507,0.10085170567930662
Streptococcus_sanguinis,0.051791222425468394,0.04885102570709328,0.10064224813256167
Clostridium_leptum,0.00028593191790966127,-0.10019290309077514,0.1004788350086848
